,id,chain,offer,market,repeattrips,repeater,PCT,PQT,PCY,PBD,Purchase_amount,Purchase_quantity,cluster_num
0,86246,205,2.0,34,5,1,88.194,3.048,55.375,40.052,52828.12,17333.0,0
1,86252,205,0.75,34,16,1,90.835,3.044,59.68,43.185,53592.9,17604.0,1
2,12682470,18,0.75,11,0,0,16.268,3.449,15.522,14.278,3383.84,981.0,4
3,12996040,15,0.75,9,0,0,11.949,3.834,14.68,13.886,1541.36,402.0,1
4,13089312,15,1.5,9,0,0,17.929,2.649,19.453,17.685,3890.68,1469.0,4
5,13179265,14,0.75,8,0,0,14.231,2.288,14.48,15.007,2476.13,1082.0,2
6,13251776,15,1.25,9,0,0,39.849,3.52,32.928,26.068,12512.59,3555.0,1
7,13540129,14,1.25,8,0,0,11.692,2.376,11.863,10.456,3262.19,1373.0,4
8,13807224,4,1.0,1,0,0,22.75,2.611,25.939,21.187,5550.89,2126.0,1
9,13873775,4,0.75,1,0,0,25.797,2.06,21.437,20.499,6088.08,2955.0,1
10,13974451,4,0.75,1,0,0,6.869,2.639,8.813,8.053,467.08,177.0,3
11,14088807,3,1.25,2,1,1,15.396,3.55,15.068,13.238,2832.87,798.0,1
12,14381137,4,0.75,1,0,0,21.54,4.727,20.059,20.059,3209.43,679.0,1
13,14576147,18,0.75,11,0,0,14.654,2.27,14.37,13.156,2960.12,1304.0,3
14,15530842,95,0.75,39,0,0,15.406,2.691,20.449,17.852,1124.67,418.0,0
15,15705695,15,0.75,9,0,0,14.401,3.791,13.775,12.46,2217.81,585.0,2
16,15738658,17,0.75,4,0,0,6.214,3.966,6.014,5.826,186.42,47.0,1
17,15753725,17,2.0,4,0,0,35.767,2.785,35.231,29.213,9406.59,3377.0,0
18,15941277,14,0.75,8,1,1,16.944,3.439,18.656,16.389,3507.31,1020.0,0
19,15994113,4,0.75,1,0,0,13.699,3.588,15.455,13.621,2410.94,672.0,3
20,16138642,4,1.0,1,0,0,13.867,2.551,13.184,11.7,1872.07,734.0,1
21,16238376,14,0.75,8,1,1,10.934,2.544,10.497,10.743,1836.97,722.0,2
22,16535563,4,2.0,1,7,1,49.416,4.009,43.662,36.219,6374.61,1590.0,0
23,16606739,3,3.0,2,0,0,25.292,4.365,22.869,20.207,3819.1,875.0,3
24,16646740,4,0.75,1,0,0,35.297,3.86,31.869,26.526,8859.67,2295.0,1
25,16691816,3,2.0,2,0,0,10.945,2.458,14.593,10.287,1882.53,766.0,3
26,16749437,20,0.75,7,1,1,12.306,3.228,13.712,12.412,1439.8,446.0,0
27,16797008,88,0.75,14,1,1,18.99,4.299,19.782,16.291,3323.31,773.0,1
28,17456470,14,3.0,8,0,0,45.189,5.244,41.016,33.365,12878.94,2456.0,3
29,17472223,4,2.0,1,0,0,15.053,3.036,17.665,16.316,2137.46,704.0,0
30,17486592,15,0.75,9,1,1,31.312,4.011,28.446,24.26,8078.55,2014.0,2
31,17693343,18,0.75,11,0,0,6.931,2.878,7.325,6.645,644.56,224.0,0
32,17764186,15,0.75,9,0,0,10.104,3.097,12.204,11.52,1232.63,398.0,1
33,17888308,4,1.0,1,0,0,24.212,3.152,23.466,19.583,5326.68,1690.0,0
34,17995179,95,0.75,39,0,0,8.631,1.566,8.293,8.133,1268.78,810.0,2
35,18259179,3,2.0,2,0,0,10.621,3.822,9.928,9.226,913.4,239.0,2
36,18277411,4,1.0,1,0,0,27.391,3.668,24.433,21.417,5204.3,1419.0,1
37,18938874,88,0.75,14,0,0,17.425,2.972,19.311,16.751,3031.88,1020.0,1
38,19069700,4,0.75,1,0,0,15.224,3.78,17.707,15.664,1629.01,431.0,1
39,19330664,4,0.75,1,0,0,16.866,3.855,13.128,13.199,2428.65,630.0,3
40,19506471,4,0.75,1,1,1,20.664,3.546,22.43,19.439,2624.33,740.0,1
41,19591356,4,0.75,1,1,1,12.024,2.564,13.36,11.144,2284.62,891.0,2
42,19773748,15,0.75,9,0,0,13.713,3.112,16.046,12.158,2358.71,758.0,3
43,19899195,14,0.75,8,0,0,10.604,2.974,10.763,9.365,1442.21,485.0,3
44,21024070,15,2.0,9,1,1,23.969,3.187,23.381,18.636,7622.29,2392.0,0
45,21419778,14,0.75,8,0,0,24.044,5.156,18.23,18.471,2789.15,541.0,0
46,21603296,4,2.0,1,0,0,20.121,3.394,22.549,17.516,3923.55,1156.0,0
47,21622166,3,0.75,2,0,0,17.931,2.533,19.883,17.931,2922.76,1154.0,3
48,21837001,15,1.0,9,0,0,16.6,4.366,18.878,16.047,1925.6,441.0,3
49,21860840,15,0.75,9,0,0,30.335,3.522,30.335,26.453,5581.61,1585.0,0
50,22077078,18,0.75,11,0,0,15.531,3.065,18.192,13.23,3929.37,1282.0,1
51,22491084,15,0.75,9,1,1,22.019,3.307,20.692,17.466,5152.33,1558.0,3
52,22709494,4,1.5,1,1,1,10.695,3.565,11.639,11.306,1187.17,333.0,3
53,22725281,18,0.75,11,0,0,17.353,3.117,17.704,14.016,4372.91,1403.0,3
54,22791304,20,0.75,7,0,0,7.58,2.364,9.396,8.422,1136.96,481.0,3
55,22816872,17,0.75,4,0,0,8.993,3.396,12.887,9.684,1636.68,482.0,1
56,23270065,17,0.75,4,0,0,15.725,3.063,17.035,13.859,817.7,267.0,1
57,23412989,17,0.75,4,0,0,9.379,2.062,8.039,8.619,956.68,464.0,1
58,23447825,15,0.75,9,0,0,15.812,3.279,18.369,13.431,1249.11,381.0,0
59,23486921,18,0.75,11,0,0,10.688,2.443,13.011,8.933,1197.05,490.0,3
60,44975538,2,0.75,1,0,0,15.894,3.195,16.805,13.385,3814.64,1194.0,3
61,48445984,15,0.75,9,0,0,33.393,4.412,27.984,23.332,8982.77,2036.0,3
62,48464291,18,2.0,11,0,0,21.178,2.899,23.428,21.298,3748.44,1293.0,0
63,48468053,4,0.75,1,0,0,23.539,3.653,25.394,21.823,4190.0,1147.0,2
64,48682962,15,0.75,9,0,0,28.152,5.086,24.569,20.474,4053.85,797.0,2
65,48693550,95,0.75,39,0,0,18.107,3.252,21.283,16.543,3639.44,1119.0,3
66,48991232,4,0.75,1,0,0,20.697,2.751,19.81,18.246,1386.67,504.0,3
67,49165299,3,1.25,2,1,1,18.574,2.433,17.057,14.418,5219.39,2145.0,0
68,49315424,4,0.75,1,0,0,8.893,2.681,9.678,8.491,1316.14,491.0,3
69,49326153,4,0.75,1,0,0,21.401,3.364,22.584,17.024,4494.21,1336.0,0
70,49434116,14,0.75,8,0,0,13.446,2.5,15.013,12.422,2447.14,979.0,3
71,49451971,4,0.75,1,1,1,14.322,3.131,14.56,11.297,2620.88,837.0,4
72,49613173,4,1.25,1,0,0,18.356,2.308,14.76,14.76,3616.21,1567.0,1
73,49806426,88,1.25,14,0,0,29.486,3.097,24.751,22.245,8786.69,2837.0,1
74,49817353,17,0.75,4,0,0,15.476,3.625,14.547,13.066,2182.05,602.0,0
